Artist,type,number
Victor Vasarely,prestige_avg_rank,895.0
Moholy-Nagy László,prestige_avg_rank,911.0
Vera Molnár,prestige_avg_rank,787.0
Bak Imre,prestige_avg_rank,788.0
Nádler István,prestige_avg_rank,744.0
Szirtes János,prestige_avg_rank,656.0
Simon Hantaï,prestige_avg_rank,894.0
Brassaï ,prestige_avg_rank,910.0
Fehér László,prestige_avg_rank,661.0
Maurer Dóra,prestige_avg_rank,867.0
Bukta Imre,prestige_avg_rank,687.0
Sugár János,prestige_avg_rank,799.0
Birkás Ákos,prestige_avg_rank,627.0
El-Hassan Róza,prestige_avg_rank,871.0
Lakner László,prestige_avg_rank,878.0
Csörgő Attila,prestige_avg_rank,801.0
Nemes Csaba,prestige_avg_rank,733.0
Szűcs Attila,prestige_avg_rank,741.0
Kassák Lajos,prestige_avg_rank,879.0
Konok Tamás,prestige_avg_rank,748.0
Pinczehelyi Sándor,prestige_avg_rank,662.0
Rita Ackermann,prestige_avg_rank,906.0
Németh Ilona,prestige_avg_rank,731.0
Gerhes Gábor,prestige_avg_rank,800.0
Kepes György,prestige_avg_rank,897.0
Tót Endre,prestige_avg_rank,869.0
Reigl Judit,prestige_avg_rank,907.0
Koronczi Endre,prestige_avg_rank,596.0
Németh Hajnal,prestige_avg_rank,812.0
Várnai Gyula,prestige_avg_rank,827.0
J. Bartusz György,prestige_avg_rank,601.0
Yona Friedman,prestige_avg_rank,752.0
Haász István,prestige_avg_rank,598.0
Halász Károly,prestige_avg_rank,803.0
Erdély Miklós,prestige_avg_rank,843.0
Fajó János,prestige_avg_rank,526.0
Gerber Pál,prestige_avg_rank,771.0
Csiszér Zsuzsi,prestige_avg_rank,498.0
Lakner Antal,prestige_avg_rank,851.0
Gellér B. Istvan,prestige_avg_rank,422.0
St. Auby Tamás,prestige_avg_rank,877.0
Kovács Attila,prestige_avg_rank,825.0
Kicsiny Balázs,prestige_avg_rank,705.0
Hencze Tamás,prestige_avg_rank,736.0
Hajas Tibor,prestige_avg_rank,876.0
Eperjesi Ágnes,prestige_avg_rank,765.0
feLugossy László,prestige_avg_rank,499.0
Jovánovics György,prestige_avg_rank,874.0
Kocsis Imre,prestige_avg_rank,785.0
Gáyor Tibor,prestige_avg_rank,810.0
Csontó Lajos,prestige_avg_rank,590.0
aatoth franyo,prestige_avg_rank,520.0
Kaszás Tamás,prestige_avg_rank,821.0
Ilona Keserü Ilona,prestige_avg_rank,808.0
Dénes Ágnes,prestige_avg_rank,852.0
Beöthy Balázs,prestige_avg_rank,805.0
Harasztÿ István,prestige_avg_rank,625.0
Korniss Dezső,prestige_avg_rank,669.0
Kerekes Gabor,prestige_avg_rank,593.0
Szurcsik József,prestige_avg_rank,320.0
Szilágyi Lenke,prestige_avg_rank,679.0
Nicolas Schöffer,prestige_avg_rank,833.0
Szotyory László,prestige_avg_rank,534.0
Böröcz András,prestige_avg_rank,769.0
Galántai György,prestige_avg_rank,847.0
Agnes von Uray,prestige_avg_rank,868.0
Kádár Katalin,prestige_avg_rank,35.0
Puklus Péter,prestige_avg_rank,619.0
Kokesch Ádám,prestige_avg_rank,875.0
Gyenis Tibor,prestige_avg_rank,859.0
Bálint Endre,prestige_avg_rank,445.0
Klimó Károly,prestige_avg_rank,613.0
Szabados Árpád,prestige_avg_rank,523.0
Koncz András,prestige_avg_rank,443.0
Szabó Dezső,prestige_avg_rank,818.0
Újházi Péter,prestige_avg_rank,385.0
Kelemen Károly,prestige_avg_rank,680.0
Király András,prestige_avg_rank,692.0
Körösényi Tamás,prestige_avg_rank,727.0
Ősz Gábor,prestige_avg_rank,885.0
Elekes Károly,prestige_avg_rank,359.0
Záborszky Gábor,prestige_avg_rank,684.0
Lovas Ilona,prestige_avg_rank,689.0
Szíj Kamilla,prestige_avg_rank,715.0
Barabás Márton,prestige_avg_rank,513.0
Esterházy Marcell,prestige_avg_rank,849.0
Gaál József,prestige_avg_rank,630.0
Tibor Zsolt,prestige_avg_rank,521.0
Mulasics László,prestige_avg_rank,701.0
Herman Levente,prestige_avg_rank,492.0
ef Zámbó István,prestige_avg_rank,336.0
Baranyay András,prestige_avg_rank,720.0
Benczúr Emese,prestige_avg_rank,762.0
Kemény Zoltán,prestige_avg_rank,816.0
Győrffy László,prestige_avg_rank,471.0
Rozsda Endre,prestige_avg_rank,712.0
Asztalos Zsolt,prestige_avg_rank,578.0
Lugossy Mária,prestige_avg_rank,323.0
Roskó Gábor,prestige_avg_rank,702.0
Erdélyi Gábor,prestige_avg_rank,728.0
Palkó Tibor,prestige_avg_rank,374.0
Saxon-Szász János,prestige_avg_rank,462.0
Cseke Szilard,prestige_avg_rank,584.0
Komoróczky Tamás,prestige_avg_rank,764.0
Jovián György,prestige_avg_rank,595.0
Ország Lili,prestige_avg_rank,747.0
Keserue Zsolt,prestige_avg_rank,813.0
Nagy Kriszta,prestige_avg_rank,863.0
Károlyi Zsigmond,prestige_avg_rank,804.0
Iski Kocsis Tibor,prestige_avg_rank,777.0
Fischer Judit,prestige_avg_rank,616.0
Pál Csaba,prestige_avg_rank,95.0
Gyarmathy Tihamér,prestige_avg_rank,798.0
Erhardt Miklos,prestige_avg_rank,846.0
Kudász Gábor Arion,prestige_avg_rank,672.0
Megyik János,prestige_avg_rank,855.0
Horváth Tibor,prestige_avg_rank,791.0
Csiky Tibor,prestige_avg_rank,676.0
Konkoly Gyula,prestige_avg_rank,699.0
Rácmolnár Sándor,prestige_avg_rank,592.0
Ádám Zoltán,prestige_avg_rank,690.0
Csurka Eszter,prestige_avg_rank,417.0
Perneczky Géza,prestige_avg_rank,820.0
Swierkiewicz Róbert,prestige_avg_rank,295.0
Bohus Zoltán,prestige_avg_rank,237.0
Paizs László,prestige_avg_rank,316.0
Hámos Gusztáv,prestige_avg_rank,725.0
Vécsei Júlia,prestige_avg_rank,794.0
Deim Pál,prestige_avg_rank,729.0
Fodor Dániel János,prestige_avg_rank,739.0
Mengyán András,prestige_avg_rank,841.0
Lantos Ferenc,prestige_avg_rank,587.0
Drozdik Orsolya,prestige_avg_rank,856.0
Lengyel András,prestige_avg_rank,667.0
Szabics Ágnes,prestige_avg_rank,247.0
Szegedy-Maszák Zoltán,prestige_avg_rank,900.0
Várnagy Tibor,prestige_avg_rank,826.0
Mátrai Erik,prestige_avg_rank,695.0
Pauer Gyula,prestige_avg_rank,688.0
Drozsnyik István,prestige_avg_rank,265.0
Keserü Károly,prestige_avg_rank,792.0
Csáji Attila,prestige_avg_rank,621.0
Koroknai Zsolt,prestige_avg_rank,260.0
Ladik Katalin,prestige_avg_rank,834.0
Tarr Hajnalka,prestige_avg_rank,753.0
Kis Róka Csaba,prestige_avg_rank,599.0
Nagy Gábor,prestige_avg_rank,123.0
Csákány István,prestige_avg_rank,884.0
Molnár Sándor,prestige_avg_rank,760.0
Sóváradi Valéria,prestige_avg_rank,376.0
Türk Péter,prestige_avg_rank,866.0
Bernát András,prestige_avg_rank,611.0
Baglyas Erika,prestige_avg_rank,493.0
Kopasz Tamás,prestige_avg_rank,296.0
Szabó Éva Eszter,prestige_avg_rank,766.0
Samu Géza,prestige_avg_rank,658.0
Hetey Katalin,prestige_avg_rank,824.0
Szarka Péter,prestige_avg_rank,839.0
